id,tid,type,dist,name_short,name,Latitude,Longitude
380081800Y,Y,國小,大園區,后厝國民小學,桃園市大園區后厝國民小學,25.0808338,121.2147013
380081900Y,Y,國小,大園區,沙崙國民小學,桃園市大園區沙崙國民小學,25.0934462,121.2222693
380082000Y,Y,國小,大園區,埔心國民小學,桃園市大園區埔心國民小學,25.0489155,121.2256908
380082100Y,Y,國小,大園區,五權國民小學,桃園市大園區五權國民小學,25.023374,121.230857
380082200Y,Y,國小,大園區,陳康國民小學,桃園市大園區陳康國民小學,25.0601284,121.2306225
380082300Y,Y,國小,大園區,竹圍國民小學,桃園市大園區竹圍國民小學,25.103254,121.244415
380078400Y,Y,國小,蘆竹區,南崁國民小學,桃園市蘆竹區南崁國民小學,25.0500869,121.3009642
380078500Y,Y,國小,蘆竹區,公埔國民小學,桃園市蘆竹區公埔國民小學,25.071527,121.285224
380078600Y,Y,國小,蘆竹區,蘆竹國民小學,桃園市蘆竹區蘆竹國民小學,25.0504104,121.2669095
380078700Y,Y,國小,蘆竹區,大竹國民小學,桃園市蘆竹區大竹國民小學,25.0247647,121.2584648
380078800Y,Y,國小,蘆竹區,新興國民小學,桃園市蘆竹區新興國民小學,25.008525,121.265701
380078900Y,Y,國小,蘆竹區,外社國民小學,桃園市蘆竹區外社國民小學,25.0823433,121.306455
380079000Y,Y,國小,蘆竹區,山腳國民小學,桃園市蘆竹區山腳國民小學,25.088392,121.287498
380079100Y,Y,國小,蘆竹區,頂社國民小學,桃園市蘆竹區頂社國民小學,25.0777322,121.3198794
380079200Y,Y,國小,蘆竹區,海湖國民小學,桃園市蘆竹區海湖國民小學,25.1025521,121.2674571
380079300Y,Y,國小,蘆竹區,大華國民小學,桃園市蘆竹區大華國民小學,25.0393431,121.2544777
380079400Y,Y,國小,蘆竹區,新莊國民小學,桃園市蘆竹區新莊國民小學,25.0278809,121.2467682
380079500Y,Y,國小,蘆竹區,錦興國民小學,桃園市蘆竹區錦興國民小學,25.0465855,121.289703
